order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD100013,CUST3433,shipped,2017-05-26 00:00:00,2017-05-27 00:00:00,2017-05-28 00:00:00,2017-05-29 00:00:00,2017-06-03 00:00:00
ORD100014,CUST6311,shipped,2017-07-28 00:00:00,2017-07-28 07:00:00,2017-07-31 07:00:00,2017-08-03 07:00:00,2017-08-05 00:00:00
ORD100015,CUST6051,delivered,2017-10-13 00:00:00,2017-10-13 21:00:00,2017-10-16 21:00:00,2017-10-20 21:00:00,2017-10-22 00:00:00
ORD100016,CUST7420,processing,2017-01-10 00:00:00,2017-01-10 20:00:00,2017-01-12 20:00:00,2017-01-18 20:00:00,2017-01-18 00:00:00
ORD100017,CUST2184,delivered,2019-01-09 00:00:00,2019-01-09 10:00:00,2019-01-12 10:00:00,2019-01-15 10:00:00,2019-01-17 00:00:00
ORD100018,CUST5555,delivered,2017-07-05 00:00:00,2017-07-06 01:00:00,2017-07-08 01:00:00,2017-07-09 01:00:00,2017-07-14 00:00:00
ORD100019,CUST4385,delivered,2018-07-28 00:00:00,2018-07-29 23:00:00,2018-07-30 23:00:00,2018-08-02 23:00:00,2018-08-06 00:00:00
ORD100020,CUST7396,shipped,2018-08-20 00:00:00,2018-08-21 12:00:00,2018-08-22 12:00:00,2018-08-24 12:00:00,2018-08-27 00:00:00
ORD100021,CUST9666,delivered,2018-04-09 00:00:00,2018-04-10 23:00:00,2018-04-14 23:00:00,2018-04-17 23:00:00,2018-04-17 00:00:00
ORD100022,CUST3558,delivered,2017-05-14 00:00:00,2017-05-14 15:00:00,2017-05-16 15:00:00,2017-05-21 15:00:00,2017-05-20 00:00:00
ORD100023,CUST8849,delivered,2019-04-15 00:00:00,2019-04-16 20:00:00,2019-04-17 20:00:00,2019-04-22 20:00:00,2019-04-20 00:00:00
ORD100024,CUST3047,delivered,2019-03-20 00:00:00,2019-03-21 16:00:00,2019-03-23 16:00:00,2019-03-25 16:00:00,2019-03-25 00:00:00
ORD100025,CUST3747,delivered,2017-06-20 00:00:00,2017-06-21 16:00:00,2017-06-22 16:00:00,2017-06-28 16:00:00,2017-06-29 00:00:00
ORD100026,CUST1189,delivered,2017-08-01 00:00:00,2017-08-01 06:00:00,2017-08-03 06:00:00,2017-08-06 06:00:00,2017-08-10 00:00:00
ORD100027,CUST3734,shipped,2018-06-14 00:00:00,2018-06-15 13:00:00,2018-06-17 13:00:00,2018-06-23 13:00:00,2018-06-21 00:00:00
ORD100028,CUST4005,delivered,2019-04-06 00:00:00,2019-04-06 02:00:00,2019-04-09 02:00:00,2019-04-13 02:00:00,2019-04-14 00:00:00
ORD100029,CUST5658,delivered,2018-05-17 00:00:00,2018-05-17 12:00:00,2018-05-18 12:00:00,2018-05-21 12:00:00,2018-05-26 00:00:00
ORD100030,CUST2899,delivered,2018-07-26 00:00:00,2018-07-26 04:00:00,2018-07-30 04:00:00,2018-08-04 04:00:00,2018-08-04 00:00:00
ORD100031,CUST8734,delivered,2018-08-23 00:00:00,2018-08-23 23:00:00,2018-08-26 23:00:00,2018-08-31 23:00:00,2018-08-28 00:00:00
ORD100032,CUST2267,shipped,2017-01-27 00:00:00,2017-01-27 13:00:00,2017-01-31 13:00:00,2017-02-06 13:00:00,2017-02-04 00:00:00
ORD100033,CUST2528,unavailable,2017-03-09 00:00:00,2017-03-09 17:00:00,2017-03-11 17:00:00,2017-03-12 17:00:00,2017-03-16 00:00:00
ORD100034,CUST4556,delivered,2019-03-01 00:00:00,2019-03-02 07:00:00,2019-03-05 07:00:00,2019-03-10 07:00:00,2019-03-10 00:00:00
ORD100035,CUST4890,shipped,2018-02-12 00:00:00,2018-02-12 16:00:00,2018-02-14 16:00:00,2018-02-15 16:00:00,2018-02-21 00:00:00
ORD100036,CUST9838,unavailable,2018-07-06 00:00:00,2018-07-07 17:00:00,2018-07-08 17:00:00,2018-07-13 17:00:00,2018-07-15 00:00:00
ORD100037,CUST6393,canceled,2017-04-19 00:00:00,2017-04-20 02:00:00,2017-04-21 02:00:00,2017-04-26 02:00:00,2017-04-24 00:00:00
ORD100038,CUST9792,delivered,2017-03-15 00:00:00,2017-03-16 04:00:00,2017-03-20 04:00:00,2017-03-24 04:00:00,2017-03-24 00:00:00
ORD100039,CUST9433,processing,2018-08-01 00:00:00,2018-08-01 01:00:00,2018-08-02 01:00:00,2018-08-03 01:00:00,2018-08-10 00:00:00
ORD100040,CUST8513,delivered,2018-11-11 00:00:00,2018-11-12 23:00:00,2018-11-16 23:00:00,2018-11-17 23:00:00,2018-11-16 00:00:00
ORD100041,CUST3612,delivered,2017-09-19 00:00:00,2017-09-19 12:00:00,2017-09-21 12:00:00,2017-09-26 12:00:00,2017-09-28 00:00:00
ORD100042,CUST8041,delivered,2018-01-03 00:00:00,2018-01-04 13:00:00,2018-01-07 13:00:00,2018-01-08 13:00:00,2018-01-11 00:00:00
ORD100043,CUST7235,delivered,2019-02-25 00:00:00,2019-02-25 20:00:00,2019-02-26 20:00:00,2019-03-03 20:00:00,2019-03-05 00:00:00
ORD100044,CUST6486,delivered,2019-04-29 00:00:00,2019-04-29 02:00:00,2019-05-01 02:00:00,2019-05-06 02:00:00,2019-05-04 00:00:00
ORD100045,CUST8099,delivered,2019-05-20 00:00:00,2019-05-21 12:00:00,2019-05-24 12:00:00,2019-05-30 12:00:00,2019-05-28 00:00:00
ORD100046,CUST1775,delivered,2017-08-25 00:00:00,2017-08-25 15:00:00,2017-08-27 15:00:00,2017-08-30 15:00:00,2017-09-01 00:00:00
ORD100047,CUST9226,canceled,2018-12-28 00:00:00,2018-12-29 14:00:00,2019-01-02 14:00:00,2019-01-03 14:00:00,2019-01-06 00:00:00
ORD100048,CUST4152,canceled,2018-01-01 00:00:00,2018-01-01 22:00:00,2018-01-03 22:00:00,2018-01-05 22:00:00,2018-01-08 00:00:00
ORD100049,CUST2585,delivered,2017-10-13 00:00:00,2017-10-14 20:00:00,2017-10-18 20:00:00,2017-10-24 20:00:00,2017-10-21 00:00:00
ORD100050,CUST4943,canceled,2018-01-13 00:00:00,2018-01-14 08:00:00,2018-01-18 08:00:00,2018-01-19 08:00:00,2018-01-18 00:00:00
ORD100051,CUST8555,canceled,2018-10-23 00:00:00,2018-10-23 20:00:00,2018-10-24 20:00:00,2018-10-25 20:00:00,2018-10-28 00:00:00
ORD100052,CUST4073,shipped,2019-04-10 00:00:00,2019-04-11 12:00:00,2019-04-15 12:00:00,2019-04-19 12:00:00,2019-04-17 00:00:00
ORD100053,CUST2021,delivered,2018-01-11 00:00:00,2018-01-12 09:00:00,2018-01-16 09:00:00,2018-01-18 09:00:00,2018-01-19 00:00:00
ORD100054,CUST4843,delivered,2018-09-11 00:00:00,2018-09-11 15:00:00,2018-09-13 15:00:00,2018-09-15 15:00:00,2018-09-20 00:00:00
ORD100055,CUST8989,processing,2018-10-15 00:00:00,2018-10-16 22:00:00,2018-10-20 22:00:00,2018-10-24 22:00:00,2018-10-23 00:00:00
ORD100056,CUST7873,delivered,2017-03-17 00:00:00,2017-03-17 03:00:00,2017-03-21 03:00:00,2017-03-25 03:00:00,2017-03-25 00:00:00
ORD100057,CUST6675,delivered,2017-01-09 00:00:00,2017-01-10 05:00:00,2017-01-12 05:00:00,2017-01-13 05:00:00,2017-01-14 00:00:00
ORD100058,CUST1161,delivered,2017-07-15 00:00:00,2017-07-16 23:00:00,2017-07-19 23:00:00,2017-07-22 23:00:00,2017-07-21 00:00:00
ORD100059,CUST5297,delivered,2019-03-18 00:00:00,2019-03-19 03:00:00,2019-03-20 03:00:00,2019-03-24 03:00:00,2019-03-27 00:00:00
ORD100060,CUST1995,delivered,2019-03-03 00:00:00,2019-03-03 05:00:00,2019-03-05 05:00:00,2019-03-07 05:00:00,2019-03-12 00:00:00
ORD100061,CUST8629,delivered,2019-06-12 00:00:00,2019-06-13 07:00:00,2019-06-17 07:00:00,2019-06-19 07:00:00,2019-06-17 00:00:00
ORD100062,CUST2016,delivered,2018-09-22 00:00:00,2018-09-22 22:00:00,2018-09-24 22:00:00,2018-09-25 22:00:00,2018-09-30 00:00:00
ORD100063,CUST8869,canceled,2017-10-17 00:00:00,2017-10-18 11:00:00,2017-10-21 11:00:00,2017-10-24 11:00:00,2017-10-22 00:00:00
ORD100064,CUST7439,canceled,2017-03-02 00:00:00,2017-03-02 07:00:00,2017-03-04 07:00:00,2017-03-09 07:00:00,2017-03-10 00:00:00
ORD100065,CUST8892,delivered,2018-01-24 00:00:00,2018-01-24 06:00:00,2018-01-26 06:00:00,2018-01-30 06:00:00,2018-01-30 00:00:00
ORD100066,CUST7863,processing,2019-04-27 00:00:00,2019-04-28 02:00:00,2019-04-30 02:00:00,2019-05-04 02:00:00,2019-05-03 00:00:00
ORD100067,CUST8916,delivered,2019-03-29 00:00:00,2019-03-29 01:00:00,2019-03-31 01:00:00,2019-04-01 01:00:00,2019-04-05 00:00:00
ORD100068,CUST9529,delivered,2019-06-19 00:00:00,2019-06-19 19:00:00,2019-06-23 19:00:00,2019-06-29 19:00:00,2019-06-27 00:00:00
ORD100069,CUST1878,shipped,2018-07-17 00:00:00,2018-07-17 07:00:00,2018-07-19 07:00:00,2018-07-25 07:00:00,2018-07-22 00:00:00
ORD100070,CUST5887,canceled,2018-07-18 00:00:00,2018-07-19 12:00:00,2018-07-22 12:00:00,2018-07-25 12:00:00,2018-07-23 00:00:00
ORD100071,CUST5859,processing,2018-09-26 00:00:00,2018-09-26 12:00:00,2018-09-28 12:00:00,2018-09-30 12:00:00,2018-10-01 00:00:00
ORD100072,CUST7331,delivered,2018-11-10 00:00:00,2018-11-10 20:00:00,2018-11-12 20:00:00,2018-11-14 20:00:00,2018-11-17 00:00:00
ORD100073,CUST9571,canceled,2017-01-08 00:00:00,2017-01-08 23:00:00,2017-01-12 23:00:00,2017-01-17 23:00:00,2017-01-17 00:00:00
ORD100074,CUST9684,delivered,2018-01-04 00:00:00,2018-01-05 01:00:00,2018-01-09 01:00:00,2018-01-11 01:00:00,2018-01-09 00:00:00
ORD100075,CUST8208,shipped,2017-02-14 00:00:00,2017-02-15 06:00:00,2017-02-17 06:00:00,2017-02-23 06:00:00,2017-02-20 00:00:00
ORD100076,CUST6276,shipped,2017-12-10 00:00:00,2017-12-11 05:00:00,2017-12-15 05:00:00,2017-12-21 05:00:00,2017-12-15 00:00:00
ORD100077,CUST3062,delivered,2019-01-27 00:00:00,2019-01-28 07:00:00,2019-02-01 07:00:00,2019-02-05 07:00:00,2019-02-01 00:00:00
ORD100078,CUST1064,delivered,2019-03-07 00:00:00,2019-03-07 18:00:00,2019-03-09 18:00:00,2019-03-14 18:00:00,2019-03-12 00:00:00
ORD100079,CUST9006,canceled,2018-01-10 00:00:00,2018-01-11 17:00:00,2018-01-15 17:00:00,2018-01-18 17:00:00,2018-01-19 00:00:00
ORD100080,CUST3568,delivered,2018-09-11 00:00:00,2018-09-11 19:00:00,2018-09-12 19:00:00,2018-09-17 19:00:00,2018-09-16 00:00:00
ORD100081,CUST6463,delivered,2017-01-27 00:00:00,2017-01-27 04:00:00,2017-01-28 04:00:00,2017-01-31 04:00:00,2017-02-05 00:00:00
ORD100082,CUST3027,shipped,2017-07-12 00:00:00,2017-07-12 01:00:00,2017-07-13 01:00:00,2017-07-19 01:00:00,2017-07-21 00:00:00
ORD100083,CUST3695,delivered,2019-04-29 00:00:00,2019-04-30 17:00:00,2019-05-04 17:00:00,2019-05-06 17:00:00,2019-05-06 00:00:00
ORD100084,CUST6258,canceled,2017-12-23 00:00:00,2017-12-23 15:00:00,2017-12-24 15:00:00,2017-12-25 15:00:00,2017-12-29 00:00:00
ORD100085,CUST6618,delivered,2017-03-03 00:00:00,2017-03-03 08:00:00,2017-03-06 08:00:00,2017-03-11 08:00:00,2017-03-08 00:00:00
ORD100086,CUST7736,delivered,2017-03-03 00:00:00,2017-03-03 15:00:00,2017-03-04 15:00:00,2017-03-09 15:00:00,2017-03-08 00:00:00
ORD100087,CUST1391,canceled,2018-02-26 00:00:00,2018-02-26 15:00:00,2018-03-01 15:00:00,2018-03-05 15:00:00,2018-03-03 00:00:00
ORD100088,CUST6892,delivered,2019-03-05 00:00:00,2019-03-06 15:00:00,2019-03-10 15:00:00,2019-03-14 15:00:00,2019-03-14 00:00:00
ORD100089,CUST4561,delivered,2018-09-25 00:00:00,2018-09-25 22:00:00,2018-09-26 22:00:00,2018-10-02 22:00:00,2018-10-03 00:00:00
ORD100090,CUST7184,shipped,2019-03-03 00:00:00,2019-03-03 18:00:00,2019-03-06 18:00:00,2019-03-09 18:00:00,2019-03-09 00:00:00
ORD100091,CUST4099,delivered,2018-07-05 00:00:00,2018-07-05 16:00:00,2018-07-09 16:00:00,2018-07-10 16:00:00,2018-07-10 00:00:00
ORD100092,CUST7278,delivered,2018-01-15 00:00:00,2018-01-15 02:00:00,2018-01-16 02:00:00,2018-01-20 02:00:00,2018-01-23 00:00:00
ORD100093,CUST9392,delivered,2017-10-04 00:00:00,2017-10-05 12:00:00,2017-10-07 12:00:00,2017-10-11 12:00:00,2017-10-12 00:00:00
ORD100094,CUST4104,canceled,2018-08-29 00:00:00,2018-08-29 20:00:00,2018-08-30 20:00:00,2018-09-01 20:00:00,2018-09-06 00:00:00
ORD100095,CUST8215,canceled,2018-03-07 00:00:00,2018-03-07 16:00:00,2018-03-08 16:00:00,2018-03-10 16:00:00,2018-03-13 00:00:00
ORD100096,CUST3454,shipped,2017-04-25 00:00:00,2017-04-25 03:00:00,2017-04-26 03:00:00,2017-05-02 03:00:00,2017-05-03 00:00:00
ORD100097,CUST9996,delivered,2018-11-19 00:00:00,2018-11-20 06:00:00,2018-11-22 06:00:00,2018-11-28 06:00:00,2018-11-24 00:00:00
ORD100098,CUST3731,canceled,2017-05-01 00:00:00,2017-05-01 02:00:00,2017-05-04 02:00:00,2017-05-08 02:00:00,2017-05-06 00:00:00
ORD100099,CUST9154,delivered,2018-06-09 00:00:00,2018-06-10 11:00:00,2018-06-13 11:00:00,2018-06-16 11:00:00,2018-06-16 00:00:00
ORD100100,CUST6056,delivered,2019-06-18 00:00:00,2019-06-19 02:00:00,2019-06-21 02:00:00,2019-06-22 02:00:00,2019-06-27 00:00:00
ORD100101,CUST9110,delivered,2018-02-20 00:00:00,2018-02-20 05:00:00,2018-02-21 05:00:00,2018-02-25 05:00:00,2018-02-28 00:00:00
ORD100102,CUST4840,canceled,2017-06-12 00:00:00,2017-06-12 02:00:00,2017-06-13 02:00:00,2017-06-16 02:00:00,2017-06-21 00:00:00
ORD100103,CUST2028,shipped,2019-02-26 00:00:00,2019-02-26 20:00:00,2019-02-27 20:00:00,2019-03-02 20:00:00,2019-03-07 00:00:00
ORD100104,CUST8385,delivered,2018-11-19 00:00:00,2018-11-20 10:00:00,2018-11-23 10:00:00,2018-11-27 10:00:00,2018-11-28 00:00:00
ORD100105,CUST1502,delivered,2017-12-03 00:00:00,2017-12-04 10:00:00,2017-12-07 10:00:00,2017-12-10 10:00:00,2017-12-12 00:00:00
ORD100106,CUST7910,unavailable,2018-01-14 00:00:00,2018-01-14 20:00:00,2018-01-16 20:00:00,2018-01-21 20:00:00,2018-01-23 00:00:00
ORD100107,CUST7938,delivered,2017-11-20 00:00:00,2017-11-21 01:00:00,2017-11-25 01:00:00,2017-11-28 01:00:00,2017-11-25 00:00:00
ORD100108,CUST5488,processing,2017-06-22 00:00:00,2017-06-22 20:00:00,2017-06-24 20:00:00,2017-06-28 20:00:00,2017-06-28 00:00:00
ORD100109,CUST1206,delivered,2019-02-26 00:00:00,2019-02-27 01:00:00,2019-03-02 01:00:00,2019-03-05 01:00:00,2019-03-06 00:00:00
ORD100110,CUST6134,delivered,2017-03-05 00:00:00,2017-03-05 14:00:00,2017-03-06 14:00:00,2017-03-10 14:00:00,2017-03-13 00:00:00
ORD100111,CUST6977,delivered,2017-04-11 00:00:00,2017-04-12 23:00:00,2017-04-13 23:00:00,2017-04-15 23:00:00,2017-04-16 00:00:00
ORD100112,CUST8721,delivered,2017-11-18 00:00:00,2017-11-19 20:00:00,2017-11-20 20:00:00,2017-11-24 20:00:00,2017-11-23 00:00:00
ORD100113,CUST8035,processing,2017-03-07 00:00:00,2017-03-08 19:00:00,2017-03-09 19:00:00,2017-03-12 19:00:00,2017-03-16 00:00:00
ORD100114,CUST2484,delivered,2019-04-23 00:00:00,2019-04-24 19:00:00,2019-04-28 19:00:00,2019-05-02 19:00:00,2019-04-29 00:00:00
ORD100115,CUST8858,shipped,2018-07-11 00:00:00,2018-07-12 15:00:00,2018-07-14 15:00:00,2018-07-15 15:00:00,2018-07-19 00:00:00
ORD100116,CUST1863,delivered,2018-08-22 00:00:00,2018-08-22 12:00:00,2018-08-24 12:00:00,2018-08-28 12:00:00,2018-08-29 00:00:00
ORD100117,CUST3790,delivered,2018-04-03 00:00:00,2018-04-03 05:00:00,2018-04-06 05:00:00,2018-04-10 05:00:00,2018-04-08 00:00:00
ORD100118,CUST8408,delivered,2018-08-02 00:00:00,2018-08-02 02:00:00,2018-08-04 02:00:00,2018-08-05 02:00:00,2018-08-09 00:00:00
ORD100119,CUST9755,delivered,2018-03-29 00:00:00,2018-03-29 16:00:00,2018-04-02 16:00:00,2018-04-03 16:00:00,2018-04-06 00:00:00
ORD100120,CUST6116,processing,2017-09-16 00:00:00,2017-09-17 06:00:00,2017-09-21 06:00:00,2017-09-22 06:00:00,2017-09-21 00:00:00
ORD100121,CUST7019,delivered,2018-12-18 00:00:00,2018-12-19 23:00:00,2018-12-23 23:00:00,2018-12-29 23:00:00,2018-12-26 00:00:00
ORD100122,CUST2757,delivered,2018-03-02 00:00:00,2018-03-03 19:00:00,2018-03-04 19:00:00,2018-03-09 19:00:00,2018-03-07 00:00:00
ORD100123,CUST8574,delivered,2017-06-27 00:00:00,2017-06-28 14:00:00,2017-07-01 14:00:00,2017-07-07 14:00:00,2017-07-05 00:00:00
ORD100124,CUST7374,delivered,2017-10-07 00:00:00,2017-10-08 21:00:00,2017-10-12 21:00:00,2017-10-16 21:00:00,2017-10-14 00:00:00
ORD100125,CUST7892,delivered,2017-12-10 00:00:00,2017-12-11 18:00:00,2017-12-13 18:00:00,2017-12-19 18:00:00,2017-12-16 00:00:00
ORD100126,CUST2678,canceled,2017-01-17 00:00:00,2017-01-18 00:00:00,2017-01-20 00:00:00,2017-01-26 00:00:00,2017-01-22 00:00:00
ORD100127,CUST4242,delivered,2017-10-23 00:00:00,2017-10-24 06:00:00,2017-10-26 06:00:00,2017-10-27 06:00:00,2017-10-30 00:00:00
ORD100128,CUST5636,delivered,2017-07-21 00:00:00,2017-07-22 13:00:00,2017-07-26 13:00:00,2017-07-27 13:00:00,2017-07-29 00:00:00
ORD100129,CUST2059,delivered,2018-11-15 00:00:00,2018-11-16 15:00:00,2018-11-20 15:00:00,2018-11-22 15:00:00,2018-11-22 00:00:00
ORD100130,CUST7668,processing,2019-02-13 00:00:00,2019-02-13 11:00:00,2019-02-15 11:00:00,2019-02-21 11:00:00,2019-02-18 00:00:00
ORD100131,CUST4157,delivered,2017-07-13 00:00:00,2017-07-13 14:00:00,2017-07-17 14:00:00,2017-07-22 14:00:00,2017-07-20 00:00:00
ORD100132,CUST6915,delivered,2017-05-29 00:00:00,2017-05-29 23:00:00,2017-05-31 23:00:00,2017-06-04 23:00:00,2017-06-06 00:00:00
ORD100133,CUST3693,delivered,2018-01-10 00:00:00,2018-01-10 16:00:00,2018-01-11 16:00:00,2018-01-14 16:00:00,2018-01-19 00:00:00
ORD100134,CUST4627,delivered,2019-06-07 00:00:00,2019-06-07 21:00:00,2019-06-11 21:00:00,2019-06-16 21:00:00,2019-06-13 00:00:00
ORD100135,CUST6450,delivered,2017-02-04 00:00:00,2017-02-04 04:00:00,2017-02-05 04:00:00,2017-02-10 04:00:00,2017-02-10 00:00:00
ORD100136,CUST2663,delivered,2018-01-04 00:00:00,2018-01-05 09:00:00,2018-01-06 09:00:00,2018-01-08 09:00:00,2018-01-13 00:00:00
ORD100137,CUST6592,shipped,2017-01-29 00:00:00,2017-01-30 23:00:00,2017-02-03 23:00:00,2017-02-07 23:00:00,2017-02-03 00:00:00
ORD100138,CUST8392,delivered,2019-02-14 00:00:00,2019-02-14 14:00:00,2019-02-16 14:00:00,2019-02-20 14:00:00,2019-02-21 00:00:00
ORD100139,CUST2306,canceled,2017-08-09 00:00:00,2017-08-09 19:00:00,2017-08-12 19:00:00,2017-08-13 19:00:00,2017-08-16 00:00:00
ORD100140,CUST7776,delivered,2017-02-22 00:00:00,2017-02-22 05:00:00,2017-02-23 05:00:00,2017-02-24 05:00:00,2017-03-03 00:00:00
ORD100141,CUST6864,delivered,2019-03-02 00:00:00,2019-03-03 12:00:00,2019-03-07 12:00:00,2019-03-12 12:00:00,2019-03-11 00:00:00
ORD100142,CUST8526,delivered,2017-12-19 00:00:00,2017-12-20 07:00:00,2017-12-21 07:00:00,2017-12-23 07:00:00,2017-12-27 00:00:00
ORD100143,CUST9901,delivered,2018-01-27 00:00:00,2018-01-28 21:00:00,2018-01-30 21:00:00,2018-02-03 21:00:00,2018-02-04 00:00:00
ORD100144,CUST6575,shipped,2017-03-17 00:00:00,2017-03-17 18:00:00,2017-03-21 18:00:00,2017-03-23 18:00:00,2017-03-23 00:00:00
ORD100145,CUST6530,delivered,2018-05-09 00:00:00,2018-05-10 20:00:00,2018-05-13 20:00:00,2018-05-16 20:00:00,2018-05-14 00:00:00
ORD100146,CUST5413,delivered,2018-11-19 00:00:00,2018-11-20 07:00:00,2018-11-24 07:00:00,2018-11-28 07:00:00,2018-11-24 00:00:00
ORD100147,CUST4748,delivered,2018-06-06 00:00:00,2018-06-07 06:00:00,2018-06-08 06:00:00,2018-06-09 06:00:00,2018-06-15 00:00:00
ORD100148,CUST1663,processing,2017-04-27 00:00:00,2017-04-27 21:00:00,2017-05-01 21:00:00,2017-05-06 21:00:00,2017-05-03 00:00:00
ORD100149,CUST2998,delivered,2017-10-07 00:00:00,2017-10-08 23:00:00,2017-10-12 23:00:00,2017-10-14 23:00:00,2017-10-13 00:00:00
ORD100150,CUST8994,unavailable,2018-12-31 00:00:00,2019-01-01 06:00:00,2019-01-02 06:00:00,2019-01-03 06:00:00,2019-01-08 00:00:00
ORD100151,CUST2495,delivered,2017-06-24 00:00:00,2017-06-25 17:00:00,2017-06-28 17:00:00,2017-07-03 17:00:00,2017-07-01 00:00:00
ORD100152,CUST4304,delivered,2019-01-16 00:00:00,2019-01-16 04:00:00,2019-01-18 04:00:00,2019-01-19 04:00:00,2019-01-21 00:00:00
ORD100153,CUST4763,delivered,2019-02-03 00:00:00,2019-02-03 05:00:00,2019-02-07 05:00:00,2019-02-11 05:00:00,2019-02-09 00:00:00
ORD100154,CUST6232,delivered,2017-10-22 00:00:00,2017-10-23 17:00:00,2017-10-26 17:00:00,2017-10-28 17:00:00,2017-10-30 00:00:00
ORD100155,CUST2853,delivered,2018-03-27 00:00:00,2018-03-28 21:00:00,2018-03-30 21:00:00,2018-04-02 21:00:00,2018-04-04 00:00:00
ORD100156,CUST7585,delivered,2019-04-14 00:00:00,2019-04-14 10:00:00,2019-04-15 10:00:00,2019-04-21 10:00:00,2019-04-22 00:00:00
ORD100157,CUST2291,unavailable,2018-06-02 00:00:00,2018-06-03 03:00:00,2018-06-06 03:00:00,2018-06-07 03:00:00,2018-06-09 00:00:00
ORD100158,CUST4581,canceled,2017-01-21 00:00:00,2017-01-21 16:00:00,2017-01-24 16:00:00,2017-01-30 16:00:00,2017-01-27 00:00:00
ORD100159,CUST8554,shipped,2017-03-14 00:00:00,2017-03-15 06:00:00,2017-03-19 06:00:00,2017-03-21 06:00:00,2017-03-23 00:00:00
ORD100160,CUST8280,delivered,2019-04-22 00:00:00,2019-04-22 13:00:00,2019-04-23 13:00:00,2019-04-27 13:00:00,2019-05-01 00:00:00
ORD100161,CUST2636,delivered,2017-02-05 00:00:00,2017-02-06 12:00:00,2017-02-10 12:00:00,2017-02-11 12:00:00,2017-02-13 00:00:00
ORD100162,CUST4696,delivered,2018-05-22 00:00:00,2018-05-22 21:00:00,2018-05-23 21:00:00,2018-05-27 21:00:00,2018-05-30 00:00:00
ORD100163,CUST1698,shipped,2019-06-18 00:00:00,2019-06-19 21:00:00,2019-06-21 21:00:00,2019-06-24 21:00:00,2019-06-25 00:00:00
ORD100164,CUST5737,unavailable,2017-08-21 00:00:00,2017-08-22 16:00:00,2017-08-26 16:00:00,2017-08-29 16:00:00,2017-08-29 00:00:00
ORD100165,CUST1854,delivered,2018-12-29 00:00:00,2018-12-30 21:00:00,2018-12-31 21:00:00,2019-01-05 21:00:00,2019-01-04 00:00:00
ORD100166,CUST9164,delivered,2018-05-12 00:00:00,2018-05-12 15:00:00,2018-05-13 15:00:00,2018-05-18 15:00:00,2018-05-20 00:00:00
ORD100167,CUST6855,delivered,2017-07-25 00:00:00,2017-07-25 20:00:00,2017-07-28 20:00:00,2017-08-02 20:00:00,2017-08-02 00:00:00
ORD100168,CUST8392,delivered,2018-03-02 00:00:00,2018-03-02 20:00:00,2018-03-06 20:00:00,2018-03-10 20:00:00,2018-03-08 00:00:00
ORD100169,CUST7528,delivered,2017-02-13 00:00:00,2017-02-14 21:00:00,2017-02-18 21:00:00,2017-02-23 21:00:00,2017-02-18 00:00:00
ORD100170,CUST6249,delivered,2017-04-01 00:00:00,2017-04-01 05:00:00,2017-04-03 05:00:00,2017-04-05 05:00:00,2017-04-10 00:00:00
